Start init
Done init
-2.63832	TNaive
-2.63832	TNaiveOutlined
-2.63832	TCompileTimehDim<64>
-2.63832	TCompileTime64hDimOutlined
0	TCLibChecker
-2.63832	TForceBy4
-2.63832	TForceBy4Last
-2.63832	TNaiveSSE4UnsafeOpt
-2.63832	TBy4SSE4UnsafeOpt
-2.63832	TNaiveAvxAuto
-2.63832	TNaiveAvx2Auto
-2.63832	TNaiveAvx512Auto
-2.63832	TNaiveAvx512ASM
-2.63832	TDetectOptimistic
-2.63832	TDetectPessimistic
-2.63832	TDetectJump
-2.63832	TVirtualJump
-2.63832	8.22633	TNaive
-2.63832	8.22633	TMultiDotFromSingle<TNaive>
-2.63832	8.22633	TMultiDotAll
-2.63832	8.22633	TMultiDotCTStep<1>
-2.63832	8.22633	TMultiDotCTStep<2>
-2.63832	8.22633	TMultiDotCTStepOutlined<2>
-2.63832	8.22633	TMultiDotCTStepOutlinedV2<2>
-2.63832	8.22633	TMultiDotCTStepV3
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_SSE42<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX2<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX512<2>
-2.63832	8.22633	TMultiDotV3_ASM_AVX512
531.675	863.36	TPackedProductUnpack<TNaive>
531.675	863.36	TPackedProductUnpack<TVirtualJump>
531.675	863.36	TPackedProductInlined
531.675	863.36	TPackedProductInlinedAvx512Auto
531.675	863.36	TPackedProductInlinedWithMath
531.675	863.36	TPackedProductInlinedWithMathAvx512Auto
531.675	863.36	TPackedProductAvx512ASM
531.675	863.36	TPackedProductV2Avx512ASM
2021-07-25 11:23:49
Running ./for_conf_abstr_level
Run on (32 X 2095.08 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 4096 KiB (x32)
  L3 Unified 16384 KiB (x32)
Load Average: 0.18, 0.12, 0.10
--------------------------------------------------------------------------------------------------------
Benchmark                                                              Time             CPU   Iterations
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_3/128                 0.998 ms        0.998 ms          704
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_3/1024                 4.24 ms         4.24 ms          165
DotPrMulti_TMultiDotCTStep_4/64                                     1.31 ms         1.31 ms          545
DotPrMulti_TMultiDotCTStep_4/128                                    2.50 ms         2.50 ms          282
DotPrMulti_TMultiDotCTStep_4/1024                                   6.23 ms         6.23 ms          110
DotPrMulti_TMultiDotCTStepOutlined_4/64                             1.33 ms         1.33 ms          539
DotPrMulti_TMultiDotCTStepOutlined_4/128                            2.42 ms         2.42 ms          284
DotPrMulti_TMultiDotCTStepOutlined_4/1024                           6.44 ms         6.44 ms          110
DotPrMulti_TMultiDotCTStepOutlinedV2_4/64                           1.19 ms         1.19 ms          593
DotPrMulti_TMultiDotCTStepOutlinedV2_4/128                          2.08 ms         2.08 ms          340
DotPrMulti_TMultiDotCTStepOutlinedV2_4/1024                         5.23 ms         5.23 ms          137
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_4/64                   0.760 ms        0.760 ms          917
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_4/128                   1.37 ms         1.37 ms          506
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_4/1024                  4.66 ms         4.66 ms          151
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_4/64                     0.639 ms        0.639 ms         1072
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_4/128                     1.17 ms         1.17 ms          601
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_4/1024                    4.52 ms         4.52 ms          155
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_4/64                    0.661 ms        0.661 ms         1064
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_4/128                    1.15 ms         1.15 ms          610
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_4/1024                   4.48 ms         4.48 ms          155
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_4/64                  0.546 ms        0.546 ms         1257
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_4/128                  1.01 ms         1.01 ms          704
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_4/1024                 4.20 ms         4.20 ms          167
DotPrMulti_TMultiDotCTStep_5/64                                     1.22 ms         1.22 ms          577
DotPrMulti_TMultiDotCTStep_5/128                                    2.23 ms         2.23 ms          323
DotPrMulti_TMultiDotCTStep_5/1024                                   8.83 ms         8.83 ms           81
DotPrMulti_TMultiDotCTStepOutlined_5/64                             1.25 ms         1.25 ms          575
DotPrMulti_TMultiDotCTStepOutlined_5/128                            2.20 ms         2.20 ms          317
DotPrMulti_TMultiDotCTStepOutlined_5/1024                           8.61 ms         8.61 ms           81
DotPrMulti_TMultiDotCTStepOutlinedV2_5/64                           1.11 ms         1.11 ms          634
DotPrMulti_TMultiDotCTStepOutlinedV2_5/128                          1.92 ms         1.92 ms          366
DotPrMulti_TMultiDotCTStepOutlinedV2_5/1024                         4.93 ms         4.93 ms          141
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_5/64                   0.803 ms        0.803 ms          868
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_5/128                   1.42 ms         1.42 ms          500
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_5/1024                  4.44 ms         4.44 ms          155
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_5/64                     0.710 ms        0.710 ms         1001
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_5/128                     1.19 ms         1.19 ms          598
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_5/1024                    4.43 ms         4.43 ms          158
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_5/64                    0.698 ms        0.698 ms          994
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_5/128                    1.17 ms         1.17 ms          598
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_5/1024                   4.36 ms         4.36 ms          160
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_5/64                  0.511 ms        0.511 ms         1385
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_5/128                  1.03 ms         1.03 ms          682
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_5/1024                 4.08 ms         4.08 ms          169
DotPrMulti_TMultiDotCTStep_6/64                                     1.21 ms         1.21 ms          569
DotPrMulti_TMultiDotCTStep_6/128                                    2.13 ms         2.13 ms          320
DotPrMulti_TMultiDotCTStep_6/1024                                   8.71 ms         8.71 ms           85
DotPrMulti_TMultiDotCTStepOutlined_6/64                             1.25 ms         1.25 ms          581
DotPrMulti_TMultiDotCTStepOutlined_6/128                            2.14 ms         2.14 ms          324
DotPrMulti_TMultiDotCTStepOutlined_6/1024                           8.36 ms         8.36 ms           86
DotPrMulti_TMultiDotCTStepOutlinedV2_6/64                          0.818 ms        0.818 ms          873
DotPrMulti_TMultiDotCTStepOutlinedV2_6/128                          1.43 ms         1.43 ms          489
